"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"SETN","BT","spawning","km",811.52,809.07,0.3,,"WITHIN_TOLERANCE",,"CLOSED",
"SETN","BT","rearing","km",1323.44,1317.58,0.4,,"WITHIN_TOLERANCE",,"CLOSED",
"SETN","BT","lake_rearing","ha",0,11536.48,-100,"lake-wetland-polygon-asymmetry","MEASUREMENT_ASYMMETRY","link credits centerline km AND polygon ha as separate columns; bcfp credits only one","INTENTIONAL","research/default_vs_bcfishpass.md; research/provincial_parity_2026_05_11.md#intentional-divergences"
"SETN","BT","wetland_rearing","ha",0,719.75,-100,"lake-wetland-polygon-asymmetry","MEASUREMENT_ASYMMETRY","link credits centerline km AND polygon ha as separate columns; bcfp credits only one","INTENTIONAL","research/default_vs_bcfishpass.md; research/provincial_parity_2026_05_11.md#intentional-divergences"
"SETN","BT","rearing_stream","km",900.76,895.29,0.6,,"WITHIN_TOLERANCE",,"CLOSED",
"SETN","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","CH","spawning","km",537.97,271.08,98.5,"setn-anadr-spawning-stale","A","bcfp barriers_subsurfaceflow stale; link applies user_barriers_definite_control overrides","INTENTIONAL","research/provincial_parity_2026_05_01.md#class-a; research/provincial_parity_2026_05_11.md#class-a"
"SETN","CH","rearing","km",609.31,295.58,106.1,"setn-anadr-rearing-stale","A","bcfp barriers_subsurfaceflow stale; link applies user_barriers_definite_control overrides","INTENTIONAL","research/provincial_parity_2026_05_01.md#class-a; research/provincial_parity_2026_05_11.md#class-a"
"SETN","CH","lake_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"SETN","CH","wetland_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"SETN","CH","rearing_stream","km",387.98,133.02,191.7,"setn-anadr-rearing-stale","A","bcfp barriers_subsurfaceflow stale; link applies user_barriers_definite_control overrides","INTENTIONAL","research/provincial_parity_2026_05_01.md#class-a; research/provincial_parity_2026_05_11.md#class-a"
"SETN","CH","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","CH","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","CM","spawning","km",670.26,338.25,98.2,"setn-anadr-spawning-stale","A","bcfp barriers_subsurfaceflow stale; link applies user_barriers_definite_control overrides","INTENTIONAL","research/provincial_parity_2026_05_01.md#class-a; research/provincial_parity_2026_05_11.md#class-a"
"SETN","CM","rearing","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","CM","lake_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"SETN","CM","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"SETN","CM","rearing_stream","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","CM","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"SETN","CM","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
