"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"BBAR","BT",23721,99.92,18,"ACCESS;MODELLED;INTERMITTENT | REAR;MODELLED;INTERMITTENT",4
"BBAR","CH",23721,99.97,6,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","CO",23721,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","SK",23721,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BULK","BT",42749,99.38,265,"ACCESS;ASSESSED | REAR;ASSESSED",60
"BULK","CH",42749,99.69,132,"ACCESS;ASSESSED | REAR;ASSESSED",13
"BULK","CO",42749,99.23,328,"REAR;NONE | SPAWN;NONE",58
"BULK","PK",42749,99.8,84,"ACCESS;ASSESSED | SPAWN;ASSESSED",11
"BULK","SK",42749,99.66,144,"ACCESS;NONE | SPAWN;NONE",50
"BULK","ST",42749,99.52,205,"ACCESS;ASSESSED | SPAWN;ASSESSED",21
"CARP","BT",16357,99.08,151,"ACCESS;MODELLED;INTERMITTENT | ACCESS;DAM;INTERMITTENT",26
"CHES","BT",9279,99.99,1," | ACCESS;MODELLED",1
"CHES","CH",9279,99.97,3," | ACCESS;DAM",1
"CHES","SK",9279,99.92,7,"ACCESS;NONE | SPAWN;NONE",6
"CHWK","BT",8810,99.83,15,"ACCESS;NONE | REAR;NONE",8
"CHWK","CH",8810,99.93,6,"ACCESS;NONE | SPAWN;NONE",3
"CHWK","CM",8810,98.83,103,"ACCESS;NONE | SPAWN;NONE",47
"CHWK","CO",8810,98.15,163,"ACCESS;NONE | SPAWN;NONE",79
"CHWK","PK",8810,99.63,33,"ACCESS;NONE | SPAWN;NONE",23
"CHWK","SK",8810,99.51,43,"REAR;NONE | SPAWN;NONE",20
"CHWK","ST",8810,99.32,60,"ACCESS;NONE | SPAWN;NONE",25
"COTR","BT",28762,99.78,63,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",21
"COTR","CH",28762,99.71,83,"ACCESS;NONE | SPAWN;NONE",50
"COTR","CO",28762,99.66,98,"REAR;MODELLED | ACCESS;MODELLED",48
"COTR","PK",28762,99.91,27,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",20
"CRKD","BT",20926,98.73,266,"REAR;MODELLED | REAR;DAM",74
"DOGC","BT",13089,99.89,14,"REAR;NONE | ACCESS;NONE",5
"DOGC","CH",13089,99.97,4,"ACCESS;NONE | ",1
"DOGC","CO",13089,99.95,6,"REAR;NONE | ACCESS;NONE",2
"DOGC","SK",13089,99.94,8,"ACCESS;NONE | SPAWN;NONE",5
"FINA","BT",26089,75.51,6389,"SPAWN;NONE | SPAWN;DAM",1625
"FINL","BT",39330,99.51,191,"REAR;DAM | ACCESS;DAM",54
"FIRE","BT",29486,99.57,126,"REAR;DAM | ACCESS;DAM",45
"FOXR","BT",27759,99.67,91,"REAR;DAM | ACCESS;DAM",36
"FRAN","BT",40224,99.74,103,"ACCESS;ASSESSED | REAR;ASSESSED",13
"FRAN","CH",40224,99.29,287,"ACCESS;NONE | SPAWN;NONE",106
"FRAN","SK",40224,99.64,145,"ACCESS;NONE | SPAWN;NONE",96
"FRCN","BT",28931,99.86,41,"ACCESS;NONE | REAR;NONE",12
"FRCN","CH",28931,99.59,120,"ACCESS;NONE | SPAWN;NONE",93
"FRCN","CM",28931,99.89,33,"ACCESS;NONE | SPAWN;NONE",25
"FRCN","CO",28931,99.8,57,"ACCESS;NONE | SPAWN;NONE",36
"FRCN","PK",28931,99.85,44,"ACCESS;NONE | SPAWN;NONE",40
"FRCN","SK",28931,99.83,48,"ACCESS;NONE | SPAWN;NONE",42
"FRCN","ST",28931,99.77,66,"REAR;NONE | SPAWN;NONE",17
"HARR","BT",17618,99.53,82,"SPAWN;DAM;INTERMITTENT | SPAWN;MODELLED;INTERMITTENT",12
"HARR","CH",17618,99.9,18,"ACCESS;DAM | SPAWN;DAM",9
"HARR","CM",17618,99.59,72,"ACCESS;NONE | SPAWN;NONE",42
"HARR","CO",17618,99.51,86,"ACCESS;NONE | SPAWN;NONE",37
"HARR","PK",17618,99.9,17,"ACCESS;MODELLED | SPAWN;MODELLED",6
"HARR","SK",17618,99.71,51,"ACCESS;NONE | SPAWN;NONE",33
"HARR","ST",17618,99.86,25,"ACCESS;NONE | REAR;NONE",5
