"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"BBAR","BT",23721,90.75,2194,"ACCESS;MODELLED | ",974
"BBAR","CH",23721,99.66,81,"ACCESS;MODELLED | ",29
"BBAR","CO",23721,99.71,68,"ACCESS;MODELLED | ",29
"BBAR","SK",23721,99.72,66,"ACCESS;MODELLED | ",29
"BULK","BT",42748,93.37,2836,"ACCESS;NONE | REAR;NONE",354
"BULK","CH",42748,95.38,1975,"REAR;NONE | ACCESS;NONE",770
"BULK","CO",42748,97.79,946,"REAR;NONE;INTERMITTENT | ACCESS;NONE;INTERMITTENT",202
"BULK","PK",42748,99.15,362,"ACCESS;NONE | ",111
"BULK","SK",42748,98.69,558,"ACCESS;NONE | ",114
"BULK","ST",42748,95.26,2028,"REAR;NONE | ACCESS;NONE",666
"CARP","BT",16355,81.75,2984,"ACCESS;DAM | REAR;DAM",578
"CHES","BT",9279,40.68,5504,"ACCESS;MODELLED;INTERMITTENT | ",1222
"CHES","CH",9279,93.08,642,"REAR;NONE | ACCESS;NONE",268
"CHES","SK",9279,98.39,149,"ACCESS;NONE | ",49
"CHWK","BT",8810,95.19,424,"ACCESS;NONE | REAR;NONE",164
"CHWK","CH",8810,98.3,150,"ACCESS;NONE | ",44
"CHWK","CM",8810,98.65,119,"ACCESS;NONE | ",44
"CHWK","CO",8810,98.32,148,"ACCESS;NONE | ",42
"CHWK","PK",8810,98.67,117,"ACCESS;NONE | ",44
"CHWK","SK",8810,98.27,152,"ACCESS;NONE | ",50
"CHWK","ST",8810,98.04,173,"ACCESS;NONE | ",45
"COTR","BT",28762,88.9,3194,"ACCESS;MODELLED | REAR;MODELLED",676
"COTR","CH",28762,92.8,2070,"REAR;MODELLED | ACCESS;MODELLED",880
"COTR","CO",28762,97.34,766,"REAR;MODELLED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",266
"COTR","PK",28762,99.59,117,"ACCESS;MODELLED | ",59
"CRKD","BT",20926,84.36,3273,"REAR;ASSESSED | ACCESS;ASSESSED",543
"DOGC","BT",13089,98.59,184,"REAR;MODELLED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",57
"DOGC","CH",13089,99.31,90,"REAR;NONE | ACCESS;NONE",77
