"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"FINA","BT",26089,99.78,57,"ACCESS;DAM | REAR;DAM",9
"LBTN","BT",0,NA,NA,NA,NA
"LPCE","BT",0,NA,NA,NA,NA
"PARA","BT",17062,99.28,123,"ACCESS;MODELLED | REAR;MODELLED",29
"PARS","BT",43124,98.96,449,"ACCESS;DAM;INTERMITTENT | REAR;DAM;INTERMITTENT",60
"PCEA","BT",33744,99.75,84,"ACCESS;DAM | REAR;DAM",44
"UPCE","BT",23072,99.57,100,"REAR;MODELLED | ACCESS;MODELLED",12
