wsg,host,elapsed_s,rows,status
FINL,Allans-MacBook-Pro,159.5,21,ok
FIRE,Allans-MacBook-Pro,116.8,21,ok
OSPK,Allans-MacBook-Pro,85.6,21,ok
PARS,Allans-MacBook-Pro,191.7,28,ok
PCEA,Allans-MacBook-Pro,157.4,21,ok
UOMI,Allans-MacBook-Pro,77.9,21,ok
CARP,Allans-MacBook-Pro,46,21,ok
