wsg,host,elapsed_s,rows,status
FOXR,Allans-MacBook-Pro,121,21,ok
INGR,Allans-MacBook-Pro,114.8,21,ok
LOMI,Allans-MacBook-Pro,90.6,21,ok
MESI,Allans-MacBook-Pro,80.1,21,ok
