wsg,host,elapsed_s,rows,status
BULK,Allans-MacBook-Pro,252.3,49,ok
KLUM,Allans-MacBook-Pro,130.8,56,ok
LSAL,Allans-MacBook-Pro,40.1,14,ok
NECR,Allans-MacBook-Pro,94.3,35,ok
UFRA,Allans-MacBook-Pro,137.9,21,ok
ZYMO,Allans-MacBook-Pro,100.7,35,ok
