wsg,host,elapsed_s,rows,status
PARS,Allans-MacBook-Pro,192,28,ok
FOXR,Allans-MacBook-Pro,119.3,21,ok
INGR,Allans-MacBook-Pro,115.4,21,ok
LOMI,Allans-MacBook-Pro,90.5,21,ok
CRKD,Allans-MacBook-Pro,49.9,14,ok
