"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"FIRE","GR","rearing_stream","km",630.24,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","BT","spawning","km",2257.17,1102.67,104.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing","km",4941.29,1783.28,177.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","lake_rearing","ha",2243.24,2428.54,-7.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","wetland_rearing","ha",1566.3,1484.98,5.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing_stream","km",4162.94,1330.36,212.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"INGR","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"INGR","RB","spawning","km",1915.12,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing","km",4296.63,,,,"NOT_APPLICABLE",,,
"INGR","RB","lake_rearing","ha",2241.61,,,,"NOT_APPLICABLE",,,
"INGR","RB","wetland_rearing","ha",1546.86,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_stream","km",3603.97,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","spawning","km",1025.67,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing","km",1475.62,,,,"NOT_APPLICABLE",,,
"INGR","GR","lake_rearing","ha",1754.29,,,,"NOT_APPLICABLE",,,
"INGR","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_stream","km",985.72,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","BT","spawning","km",2236.72,963.66,132.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","rearing","km",4578.38,1512.57,202.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","lake_rearing","ha",2943.43,3216.51,-8.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","wetland_rearing","ha",1894.11,1864.2,1.6,,"WITHIN_TOLERANCE",,"CLOSED",
"LOMI","BT","rearing_stream","km",3705.95,1104.32,235.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
