"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"FINA","BT","spawning","km",4039.81,1265.89,219.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","rearing","km",8087.71,2859.31,182.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","lake_rearing","ha",174700.69,174580.98,0.1,,"WITHIN_TOLERANCE",,"CLOSED",
"FINA","BT","wetland_rearing","ha",6729.89,5886.41,14.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","rearing_stream","km",6862.84,1899.59,261.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FINA","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FINA","RB","spawning","km",3970.06,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing","km",8554.06,,,,"NOT_APPLICABLE",,,
"FINA","RB","lake_rearing","ha",174698.83,,,,"NOT_APPLICABLE",,,
"FINA","RB","wetland_rearing","ha",6724.46,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing_stream","km",7311.62,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","GR","spawning","km",1895.71,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing","km",2944.52,,,,"NOT_APPLICABLE",,,
"FINA","GR","lake_rearing","ha",174037.3,,,,"NOT_APPLICABLE",,,
"FINA","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing_stream","km",2308.82,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","BT","spawning","km",4346.36,1003.65,333.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","rearing","km",9088.38,2032.84,347.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","lake_rearing","ha",11401.24,11459.9,-0.5,,"WITHIN_TOLERANCE",,"CLOSED",
"FIRE","BT","wetland_rearing","ha",5788.91,5040.64,14.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","rearing_stream","km",8137.68,1578.06,415.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FIRE","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FIRE","RB","spawning","km",3876.6,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing","km",8782.79,,,,"NOT_APPLICABLE",,,
"FIRE","RB","lake_rearing","ha",11270.97,,,,"NOT_APPLICABLE",,,
"FIRE","RB","wetland_rearing","ha",5192.07,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_stream","km",7870.8,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","spawning","km",1888.64,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing","km",2945.63,,,,"NOT_APPLICABLE",,,
"FIRE","GR","lake_rearing","ha",10980.49,,,,"NOT_APPLICABLE",,,
"FIRE","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_stream","km",2477.79,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","BT","spawning","km",5310.24,1102.67,381.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing","km",10996.59,1783.28,516.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","lake_rearing","ha",2325.73,2428.54,-4.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","wetland_rearing","ha",1650.3,1484.98,11.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing_stream","km",9818.37,1330.36,638,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"INGR","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"INGR","RB","spawning","km",4935.65,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing","km",10832.45,,,,"NOT_APPLICABLE",,,
"INGR","RB","lake_rearing","ha",2323.47,,,,"NOT_APPLICABLE",,,
"INGR","RB","wetland_rearing","ha",1632.02,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_stream","km",9723.08,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","spawning","km",2455.17,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing","km",3718.29,,,,"NOT_APPLICABLE",,,
"INGR","GR","lake_rearing","ha",1885.25,,,,"NOT_APPLICABLE",,,
"INGR","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_stream","km",3071.41,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","BT","spawning","km",4937.09,963.66,412.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","rearing","km",10772.2,1512.57,612.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","lake_rearing","ha",3057.73,3216.51,-4.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","wetland_rearing","ha",2118.11,1864.2,13.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","rearing_stream","km",9277.21,1104.32,740.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"LOMI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"LOMI","RB","spawning","km",4689.06,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing","km",10978.58,,,,"NOT_APPLICABLE",,,
"LOMI","RB","lake_rearing","ha",3046.46,,,,"NOT_APPLICABLE",,,
"LOMI","RB","wetland_rearing","ha",2047.79,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_stream","km",9495.73,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","spawning","km",2345.5,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing","km",3554.34,,,,"NOT_APPLICABLE",,,
"LOMI","GR","lake_rearing","ha",2707.09,,,,"NOT_APPLICABLE",,,
"LOMI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_stream","km",2851.72,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","BT","spawning","km",2245.52,677.69,231.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
