"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"ADMS","BT","spawning","km",360.42,361.71,-0.4,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","rearing","km",526.17,674.19,-22,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","BT","lake_rearing","ha",14259.74,14290.48,-0.2,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","wetland_rearing","ha",922.72,919.98,0.3,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","rearing_stream","km",375.03,368.1,1.9,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","spawning","km",277.53,277.61,0,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CH","rearing","km",351.69,308.23,14.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","CH","lake_rearing","ha",13936.94,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","wetland_rearing","ha",812,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","rearing_stream","km",201.44,158.94,26.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","CH","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CO","spawning","km",312.7,310.98,0.6,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CO","rearing","km",361.26,351.19,2.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","CO","lake_rearing","ha",14105.71,0,,,"NOT_APPLICABLE",,,
"ADMS","CO","wetland_rearing","ha",816.71,861.56,-5.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","CO","rearing_stream","km",211,201.9,4.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","CO","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CO","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","RB","spawning","km",305.04,,,,"NOT_APPLICABLE",,,
"ADMS","RB","rearing","km",436.93,,,,"NOT_APPLICABLE",,,
"ADMS","RB","lake_rearing","ha",14128.54,,,,"NOT_APPLICABLE",,,
"ADMS","RB","wetland_rearing","ha",834.85,,,,"NOT_APPLICABLE",,,
"ADMS","RB","rearing_stream","km",302.36,,,,"NOT_APPLICABLE",,,
"ADMS","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"ADMS","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"ADMS","SK","spawning","km",217.68,85.7,154,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"ADMS","SK","rearing","km",229.85,229.85,0,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","SK","lake_rearing","ha",13820.05,13820.05,0,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","SK","wetland_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"ADMS","SK","rearing_stream","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","SK","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","SK","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","BT","spawning","km",1852.11,1847.96,0.2,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","BT","rearing","km",3012.93,3062.85,-1.6,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","BT","lake_rearing","ha",4130.27,4739.73,-12.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","BT","wetland_rearing","ha",5912.74,5836.06,1.3,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","BT","rearing_stream","km",2561.49,2486.74,3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","CH","spawning","km",1264.07,1252.85,0.9,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","CH","rearing","km",2038.35,1739.82,17.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","CH","lake_rearing","ha",2871.94,0,,,"NOT_APPLICABLE",,,
"BULK","CH","wetland_rearing","ha",5546.32,0,,,"NOT_APPLICABLE",,,
"BULK","CH","rearing_stream","km",1588.2,1291.36,23,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","CH","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","CH","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","CO","spawning","km",1813.56,1768.26,2.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","CO","rearing","km",2295.83,2221.93,3.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","CO","lake_rearing","ha",4213.19,0,,,"NOT_APPLICABLE",,,
"BULK","CO","wetland_rearing","ha",5567,6203.32,-10.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","CO","rearing_stream","km",1845.67,1773.28,4.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","CO","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","CO","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","PK","spawning","km",1864.04,1849.99,0.8,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","PK","rearing","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","PK","lake_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"BULK","PK","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"BULK","PK","rearing_stream","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","PK","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","PK","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","RB","spawning","km",1817.63,,,,"NOT_APPLICABLE",,,
"BULK","RB","rearing","km",2999.02,,,,"NOT_APPLICABLE",,,
"BULK","RB","lake_rearing","ha",4119.16,,,,"NOT_APPLICABLE",,,
"BULK","RB","wetland_rearing","ha",5748.55,,,,"NOT_APPLICABLE",,,
"BULK","RB","rearing_stream","km",2547.76,,,,"NOT_APPLICABLE",,,
"BULK","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"BULK","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"BULK","SK","spawning","km",81.35,24.38,233.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","SK","rearing","km",64.56,64.56,0,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","SK","lake_rearing","ha",2098.76,2098.76,0,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","SK","wetland_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"BULK","SK","rearing_stream","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","SK","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","SK","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","ST","spawning","km",1295.53,1279.87,1.2,,"WITHIN_TOLERANCE",,"CLOSED",
"BULK","ST","rearing","km",2553.6,2247.54,13.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","ST","lake_rearing","ha",3548.97,0,,,"NOT_APPLICABLE",,,
"BULK","ST","wetland_rearing","ha",5814.03,2966.26,96,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","ST","rearing_stream","km",2102.33,1797.83,16.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"BULK","ST","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"BULK","ST","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","BT","spawning","km",1763.95,489.5,260.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing","km",3894.4,1085.42,258.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","lake_rearing","ha",11164.6,11285.72,-1.1,,"WITHIN_TOLERANCE",,"CLOSED",
"CARP","BT","wetland_rearing","ha",3133.62,2918.25,7.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing_stream","km",3205.83,813.27,294.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","KO","spawning","km",63.89,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing","km",360.47,,,,"NOT_APPLICABLE",,,
"CARP","KO","lake_rearing","ha",9065.58,,,,"NOT_APPLICABLE",,,
"CARP","KO","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_stream","km",0.48,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","RB","spawning","km",1721,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing","km",4127.87,,,,"NOT_APPLICABLE",,,
"CARP","RB","lake_rearing","ha",11164.6,,,,"NOT_APPLICABLE",,,
"CARP","RB","wetland_rearing","ha",3130.21,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_stream","km",3404.95,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CRKD","BT","spawning","km",3272.26,689.78,374.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CRKD","BT","rearing","km",7051.79,1456.49,384.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CRKD","BT","lake_rearing","ha",5261.49,5689.8,-7.5,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
