config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,BABL,SK,lake_rearing,ha,52449.98,52449.98,0
default,BABL,SK,wetland_rearing,ha,0,0,NA
default,BABL,SK,rearing_stream,km,0,0,NA
default,BABL,SK,rearing_lake_centerline,km,0,0,NA
default,BABL,SK,rearing_wetland_centerline,km,0,0,NA
default,BABL,ST,spawning,km,354.11,349.3,1.38
default,BABL,ST,rearing,km,1312.74,924.29,42.03
default,BABL,ST,lake_rearing,ha,53454.87,0,NA
default,BABL,ST,wetland_rearing,ha,5906.92,2603.62,126.87
default,BABL,ST,rearing_stream,km,1289.12,900.76,43.11
default,BABL,ST,rearing_lake_centerline,km,0,0,NA
default,BABL,ST,rearing_wetland_centerline,km,0,0,NA
default,BABL,RB,spawning,km,671.97,0,NA
default,BABL,RB,rearing,km,1466.59,0,NA
default,BABL,RB,lake_rearing,ha,50256.96,0,NA
default,BABL,RB,wetland_rearing,ha,4408.58,0,NA
default,BABL,RB,rearing_stream,km,1449.26,0,NA
default,BABL,RB,rearing_lake_centerline,km,0,0,NA
default,BABL,RB,rearing_wetland_centerline,km,0,0,NA
default,ELKR,BT,spawning,km,1532.76,1497.68,2.34
default,ELKR,BT,rearing,km,2099.44,2104.67,-0.25
default,ELKR,BT,lake_rearing,ha,537.41,598.1,-10.15
default,ELKR,BT,wetland_rearing,ha,1013.55,978.43,3.59
default,ELKR,BT,rearing_stream,km,1597.3,1579.1,1.15
default,ELKR,BT,rearing_lake_centerline,km,0,0,NA
default,ELKR,BT,rearing_wetland_centerline,km,0,0,NA
default,ELKR,WCT,spawning,km,1593.86,1538.22,3.62
default,ELKR,WCT,rearing,km,2017.66,1889.65,6.77
default,ELKR,WCT,lake_rearing,ha,561.98,0,NA
default,ELKR,WCT,wetland_rearing,ha,1030.3,600.27,71.64
default,ELKR,WCT,rearing_stream,km,1506.9,1384.4,8.85
default,ELKR,WCT,rearing_lake_centerline,km,0,0,NA
default,ELKR,WCT,rearing_wetland_centerline,km,0,0,NA
default,ELKR,RB,spawning,km,1353.74,0,NA
default,ELKR,RB,rearing,km,1801.77,0,NA
default,ELKR,RB,lake_rearing,ha,493.99,0,NA
default,ELKR,RB,wetland_rearing,ha,948.75,0,NA
default,ELKR,RB,rearing_stream,km,1338.24,0,NA
default,ELKR,RB,rearing_lake_centerline,km,0,0,NA
default,ELKR,RB,rearing_wetland_centerline,km,0,0,NA
default,DEAD,BT,spawning,km,161.81,160.28,0.95
default,DEAD,BT,rearing,km,276.03,291.76,-5.39
default,DEAD,BT,lake_rearing,ha,536.97,635.71,-15.53
default,DEAD,BT,wetland_rearing,ha,507.46,518.91,-2.21
default,DEAD,BT,rearing_stream,km,276.03,263.62,4.71
default,DEAD,BT,rearing_lake_centerline,km,0,0,NA
default,DEAD,BT,rearing_wetland_centerline,km,0,0,NA
default,DEAD,CH,spawning,km,109.35,109.07,0.26
default,DEAD,CH,rearing,km,153.25,127.95,19.77
default,DEAD,CH,lake_rearing,ha,108.34,0,NA
default,DEAD,CH,wetland_rearing,ha,274.2,0,NA
default,DEAD,CH,rearing_stream,km,153.25,127.95,19.77
default,DEAD,CH,rearing_lake_centerline,km,0,0,NA
default,DEAD,CH,rearing_wetland_centerline,km,0,0,NA
default,DEAD,CO,spawning,km,129.21,129.1,0.09
default,DEAD,CO,rearing,km,168.71,165.13,2.17
default,DEAD,CO,lake_rearing,ha,176.92,0,NA
default,DEAD,CO,wetland_rearing,ha,282.6,275.67,2.51
default,DEAD,CO,rearing_stream,km,168.71,165.13,2.17
default,DEAD,CO,rearing_lake_centerline,km,0,0,NA
default,DEAD,CO,rearing_wetland_centerline,km,0,0,NA
default,DEAD,PK,spawning,km,130.51,130.44,0.05
default,DEAD,PK,rearing,km,0,0,NA
default,DEAD,PK,lake_rearing,ha,0,0,NA
default,DEAD,PK,wetland_rearing,ha,0,0,NA
default,DEAD,PK,rearing_stream,km,0,0,NA
default,DEAD,PK,rearing_lake_centerline,km,0,0,NA
default,DEAD,PK,rearing_wetland_centerline,km,0,0,NA
default,DEAD,SK,spawning,km,0,NA,NA
default,DEAD,SK,rearing,km,0,NA,NA
default,DEAD,SK,lake_rearing,ha,0,0,NA
default,DEAD,SK,wetland_rearing,ha,0,0,NA
default,DEAD,SK,rearing_stream,km,0,NA,NA
default,DEAD,SK,rearing_lake_centerline,km,0,NA,NA
default,DEAD,SK,rearing_wetland_centerline,km,0,NA,NA
