config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
bcfishpass,BABL,CH,rearing_stream,km,680.41,694.14,-1.98
bcfishpass,BABL,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,BABL,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,BABL,CO,spawning,km,815.23,805.15,1.25
bcfishpass,BABL,CO,rearing,km,1288.36,1289.9,-0.12
bcfishpass,BABL,CO,lake_rearing,ha,0,0,NA
bcfishpass,BABL,CO,wetland_rearing,ha,0,6606.8,-100
bcfishpass,BABL,CO,rearing_stream,km,1264.75,1266.39,-0.13
bcfishpass,BABL,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,BABL,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,BABL,SK,spawning,km,60.25,59.27,1.65
bcfishpass,BABL,SK,rearing,km,941.63,941.63,0
bcfishpass,BABL,SK,lake_rearing,ha,52449.98,52449.98,0
bcfishpass,BABL,SK,wetland_rearing,ha,0,0,NA
bcfishpass,BABL,SK,rearing_stream,km,0,0,NA
bcfishpass,BABL,SK,rearing_lake_centerline,km,0,0,NA
bcfishpass,BABL,SK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,BABL,ST,spawning,km,353.73,349.3,1.27
bcfishpass,BABL,ST,rearing,km,908.81,924.29,-1.67
bcfishpass,BABL,ST,lake_rearing,ha,0,0,NA
bcfishpass,BABL,ST,wetland_rearing,ha,0,2603.62,-100
bcfishpass,BABL,ST,rearing_stream,km,885.19,900.76,-1.73
bcfishpass,BABL,ST,rearing_lake_centerline,km,0,0,NA
bcfishpass,BABL,ST,rearing_wetland_centerline,km,0,0,NA
bcfishpass,ELKR,BT,spawning,km,1523.94,1497.68,1.75
bcfishpass,ELKR,BT,rearing,km,2083.78,2104.67,-0.99
bcfishpass,ELKR,BT,lake_rearing,ha,0,598.1,-100
bcfishpass,ELKR,BT,wetland_rearing,ha,0,978.43,-100
bcfishpass,ELKR,BT,rearing_stream,km,1558.44,1579.1,-1.31
bcfishpass,ELKR,BT,rearing_lake_centerline,km,0,0,NA
