"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"ADMS","BT","spawning","km",362.3,361.71,0.2,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","rearing","km",670.88,674.19,-0.5,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","lake_rearing","ha",0,14290.48,-100,"lake-wetland-polygon-asymmetry","MEASUREMENT_ASYMMETRY","link credits centerline km AND polygon ha as separate columns; bcfp credits only one","INTENTIONAL","research/default_vs_bcfishpass.md; research/provincial_parity_2026_05_11.md#intentional-divergences"
"ADMS","BT","wetland_rearing","ha",0,919.98,-100,"lake-wetland-polygon-asymmetry","MEASUREMENT_ASYMMETRY","link credits centerline km AND polygon ha as separate columns; bcfp credits only one","INTENTIONAL","research/default_vs_bcfishpass.md; research/provincial_parity_2026_05_11.md#intentional-divergences"
"ADMS","BT","rearing_stream","km",365.73,368.1,-0.6,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","spawning","km",277.43,277.61,-0.1,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CH","rearing","km",307.72,308.23,-0.2,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CH","lake_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","wetland_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","rearing_stream","km",157.47,158.94,-0.9,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CH","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CH","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CO","spawning","km",311.01,310.98,0,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CO","rearing","km",350.85,351.19,-0.1,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CO","lake_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CO","wetland_rearing","ha",0,861.56,-100,"lake-wetland-polygon-asymmetry","MEASUREMENT_ASYMMETRY","link credits centerline km AND polygon ha as separate columns; bcfp credits only one","INTENTIONAL","research/default_vs_bcfishpass.md; research/provincial_parity_2026_05_11.md#intentional-divergences"
"ADMS","CO","rearing_stream","km",200.6,201.9,-0.6,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","CO","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","CO","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","SK","spawning","km",86.65,85.7,1.1,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","SK","rearing","km",229.85,229.85,0,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","SK","lake_rearing","ha",13820.05,13820.05,0,,"WITHIN_TOLERANCE",,"CLOSED",
"ADMS","SK","wetland_rearing","ha",0,0,,,"NOT_APPLICABLE",,,
"ADMS","SK","rearing_stream","km",0,0,,,"NOT_APPLICABLE",,,
"ADMS","SK","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
