wsg,host,elapsed_s,rows,status
BABR,Allans-MacBook-Pro,107.6,35,ok
BIGC,Allans-MacBook-Pro,35.4,7,ok
BRKS,Allans-MacBook-Pro,85.9,49,ok
CARP,Allans-MacBook-Pro,37.9,7,ok
CHWK,Allans-MacBook-Pro,54.7,49,ok
COAL,Allans-MacBook-Pro,83.7,7,ok
CRKD,Allans-MacBook-Pro,42.3,7,ok
FIRE,Allans-MacBook-Pro,93.5,7,ok
FRCN,Allans-MacBook-Pro,136.8,49,ok
GRAI,Allans-MacBook-Pro,164.8,42,ok
HOMA,Allans-MacBook-Pro,132,35,ok
JENR,Allans-MacBook-Pro,47,7,ok
KHTZ,Allans-MacBook-Pro,78.7,42,ok
KLIN,Allans-MacBook-Pro,130,42,ok
KSHR,Allans-MacBook-Pro,89.4,35,ok
LBTN,Allans-MacBook-Pro,52.5,7,ok
LHAF,Allans-MacBook-Pro,84.2,7,ok
LMUS,Allans-MacBook-Pro,63.2,7,ok
LPCE,Allans-MacBook-Pro,47.4,7,ok
LSTR,Allans-MacBook-Pro,73.6,21,ok
MESC,Allans-MacBook-Pro,48.6,7,ok
MORI,Allans-MacBook-Pro,102.9,35,ok
MSTR,Allans-MacBook-Pro,116.3,14,ok
NASC,Allans-MacBook-Pro,86.2,35,ok
NBNK,Allans-MacBook-Pro,34.7,14,ok
NIEL,Allans-MacBook-Pro,83.8,42,ok
PARS,Allans-MacBook-Pro,140.8,7,ok
SAJR,Allans-MacBook-Pro,42.8,21,ok
SEYM,Allans-MacBook-Pro,79,35,ok
SKGT,Allans-MacBook-Pro,43.4,7,ok
SQAM,Allans-MacBook-Pro,122.2,49,ok
SUST,Allans-MacBook-Pro,114.9,42,ok
TAKL,Allans-MacBook-Pro,61.6,21,ok
TOBA,Allans-MacBook-Pro,115.9,42,ok
TUYR,Allans-MacBook-Pro,49.1,7,ok
UCHR,Allans-MacBook-Pro,66.4,21,ok
UJER,Allans-MacBook-Pro,42.8,7,ok
UNRS,Allans-MacBook-Pro,65.8,7,ok
UPRO,Allans-MacBook-Pro,84.8,7,ok
USTK,Allans-MacBook-Pro,65.5,7,ok
ADMS,Allans-MacBook-Pro,79,28,ok
