wsg,host,elapsed_s,rows,status
COLR,Allans-MacBook-Pro,93.3,14,ok
COMX,Allans-MacBook-Pro,59.9,42,ok
COTR,Allans-MacBook-Pro,91.2,28,ok
COWN,Allans-MacBook-Pro,24.6,NA,error
