wsg,host,elapsed_s,rows,status
OWIK,Allans-MacBook-Pro,141.8,42,ok
MSKE,Allans-MacBook-Pro,120.9,35,ok
UDEN,Allans-MacBook-Pro,91.1,49,ok
ADMS,Allans-MacBook-Pro,78.8,28,ok
BEAV,Allans-MacBook-Pro,26.4,NA,error
